id,description
282,"Down sweater vest - Impossible to confuse with the sweater vests found at golf courses and bingo parlors, ours comes packed with ultra-toasty 800-fill down that traps heat in alpine conditions. It has a minimalist design that practically floats, and is so compact it stuffs into its own mesh-lined internal pocket (with carabiner clip-in loop). The innovative, superlight polyester shell (100% recycled) provides wind and water protection as well as a high tear-strength; quilted baffles stabilize the down. With zippered handwarmer pockets and a drawcord hem.Details: ""Superlight, windproof and water-resistant shell has high tear-strength"" Quilted construction stabilizes premium 800-fill-power goose down insulation ""Pockets: zippered handwarmers and one internal, zippered stretch-mesh that doubles as a stuff sack; with carabiner clip-in loop"" Elastic binding at armholes Drawcord hemFabric: Shell and lining: 1.4-oz 22-denier 100% all-recycled polyester with Deluge DWR (durable water repellent) finish. Insulation: 800-fill-power premium European goose downWeight: 206 g (7.3 oz)Made in China."
283,"Drift shirt - All epic tales of the West begin with a drifter - many were women in search of big skies and a freer life. The Drift Shirt's feminine, high-plains styling includes a delicate collar and a front placket and patch pockets with snaps. The shirt's all-recycled polyester/organic cotton (65%/35%) open-weave fabric is durable and stays cool under pressure. Contouring front and back princess seams; slits at cuffs and hem for venting. Recyclable through the Common Threads Recycling Program.Details: ""Feminine, open-weave fabric construction"" Durable organic cotton/all-recycled polyester blend ""Delicate collar, front placket with snaps"" Princess seaming front and back for contoured fit Front patch pockets with snap closures Slits at cuffs and hem for ventingFabric: 2.8-oz 65% all-recycled polyester/35% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: 150 g (5.3 oz)Made in Thailand."
284,"Duway skirt - Everyone knows it's what's inside that counts. Beneath this silky, sanded 100% polyester skirt (40% recycled) is a built-in pair of shorts. The travel-friendly fabric is treated with a DWR (durable water repellent) finish that drapes gracefully, dries quickly, and resists wrinkles. Updated fit this season, with a center-back shaping dart and flattering hip seams, the skirt has a more classic, feminine fit. Zippered side vents allow mobility. With a discreet front zip pocket and a waist-to-hem length of 17"" (size 8). Built-in shorts inseam is 3"". Recyclable through the Common Threads Recycling Program.Details: Sanded 100% polyester microfiber with DWR (durable water repellent) finish ""Slight styling update, same great fit"" ""Flattering seams at hip, and shaping dart at center back"" Front security pocket on right seam Zippered side vents for increased mobility ""Built-in 3"""" shorts for modesty"" ""Length 17"""" from waist to hem""Fabric: 4.1-oz 100% polyester (40% recycled) microfiber with DWR finish. Recyclable through the Common Threads Recycling ProgramWeight: (178 g 6.2 oz)Made in Vietnam."
285,"Ester top - Throw on the Ester Top for a quick surf check - its low-maintenance style makes it a favorite summer go-to blouse. Made of light and airy organic cotton, the sleeveless top's V-neck styling and open hem cool things down. Seam detailing at the neck and hem lend feminine flair; side seam pockets stash tide charts. The versatile hip length gives you options. Recyclable through the Common Threads Recycling Program.Details: Light and airy organic cotton lawn ""V-neck, sleeveless top"" Seam detailing at neck and hem Pockets on side seamsFabric: 2.2-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (95 g 3.3 oz)Made in Thailand."
286,"Freedom to roam t-shirt - Global warming and habitat destruction have made the need for animals to migrate between shifting habitats urgent - the difference between migrating and remaining within fixed boundaries is the difference between life and extinction. The Freedom to Roam initiative strives to connect North America's critical habitats to ensure the survival of large mammals. Five dollars from the sale of each shirt will go to the cause. Original artwork by Jay Ryan. Made of supersoft, 100% organic-cotton jersey and recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (112 g 3.9 oz)Made in USA."
287,"Girona board shorts - Evoking the Spanish province they were named for, the Girona Board Shorts were born to skin dive and paddle the clear Mediterranean waters of the Costa Brava. The additional length of the Girona boardies provides extra protection from sun, chafe and salt rash. A snap fly with flat tie closure offers a secure fit; the zippered, welted thigh pocket has a drain hole and key loop. Inseam (size 8) is 12"". Made from a strong and stretchy blend of 93% polyester (100% recycled)/7% spandex. Recyclable through the Common Threads Recycling Program.Details: Stretch-woven recycled polyester and spandex fabric for maximum mobility and comfort Snap fly with flat tie closure for secure fit Zippered welted pocket on hem with drain hole and key loop Low rise ""Inseam is 12""""""Fabric: 5.4-oz 93% all-recycled polyester/7% spandex. Recyclable through the Common Threads Recycling ProgramWeight: (173 g 6 oz)Made in Vietnam."
288,"North coast t-shirt - The North Coast T-Shirt speaks of days secluded from all but conversations with waves and crows. Cut paper artist Nikki McClure's work appears on a canvas of supersoft organic cotton. The slightly-shaped tee has an athletic, classic boy fit and features a traditional crew neck. Taped shoulder seams and ringspun fabric yarns add comfort. Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (112 g 3.9 oz)Made in USA."
289,"Owlin around t-shirt - The Owlin' Around T-Shirt is a wise choice for flights of fancy that take you out on a limb. Artist Jason Stowell's design is printed on 100% ringspun organic cotton using PVC- and phthalate-free inks. The lightweight shirt's Anika fit features a longer torso that's form-fitting, shorter sleeves and wide, deep neckline. Taped shoulder seams are extra soft. Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (112 g 3.9 oz)Made in USA."
290,"Pinback top - Release your inner locomotion with the action-inspired Pinback. The open-back design lets you move unchecked; soft straps tie at the neck for unlimited adjustability and a dynamic fit. A cool blend of 90% organic cotton/10% spandex glides lightly on skin, stretches with each move, and supports without hindering mobility. A hidden empire-line fabric band adds support; the full-length cut protects your torso. Recyclable through the Common Threads Recycling Program.Details: Features a blend of organic cotton and spandex; airy and lightweight for total mobility without sacrificing support Crossover V-neck design is flattering and increases mobility; open back allows dynamic motion; empire-line fabric band adds support Full-length design provides midtorso coverageFabric: 6.2-oz 90% organic cotton jersey/10% spandex. Recyclable through the Common Threads Recycling ProgramWeight: (103 g 3.6 oz)Made in Thailand."
291,"Print adour btm - Adours have a slightly scooped, low-rise front (lined) and medium coverage in back. Our improved fabric blend is made of 82% nylon/18% spandex.Details: Medium coverage Lined front Slightly scooping front Low rise Improved fabricFabric: 5.6-oz 82% nylon/18% spandexWeight: (43 g 1.5 oz)Made in USA."
292,"Hotline top - As your mind embraces the challenge of that sinister-looking hand crack, give your limbs freedom to flow in the supersoft Hotline Top, made from an airy combination of 90% organic cotton and 10% stretchy spandex. With a cleanly finished scoop neck, spaghetti-style straps that stay put, and the steadfast support of a brushed-elastic internal shelf bra. Long enough in the torso to provide full coverage with low-rise styles. Recyclable through the Common Threads Recycling Program.Details: Fabric combination is airy and light for maximum mobility and support Cleanly finished seams with thin shoulder straps Internal shelf bra with brushed elastic for support Hip lengthFabric: 6.2-oz 90% organic cotton/10% spandex. Recyclable through the Common Threads Recycling ProgramWeight: (144 g 5 oz)Made in Thailand."
293,"Houdini full-zip jkt - Now you see it, now you don't. Just like the sun on blustery days, our ultralight, ultrapackable Houdini can shed fickle weather and then disappear when the skies clear - yet it's breathable enough to keep on as you crank through the next squall. The textured triple-ripstop nylon fabric proves surprisingly tough, while the Deluge DWR (durable water repellent) finish wards off flurries six pitches from the deck. The lower-volume hood snugs around the face and head three-dimensionally with a single-pull system. The jacket stuffs into its own out-of-the-way pocket, which has a secure zipper closure and a burly-strong carabiner clip-in loop. With a drawcord hem.  Details: ""Highly breathable, incredibly light textured soft-shell fabric has a strong, triple ripstop pattern and a subtle, slightly transparent appearance; Deluge DWR (durable water repellent) finish"" DWR-coated center-front zipper ""Zippered exterior chest pocket doubles as a stuff sack, with a reinforced carabiner clip loop"" Hood opening and field-of-vision adjustment in one pull ""Elastic cuffs, drawcord hem"" May be worn over baselayers and light midlayers Reflective heat-transfer logoFabric: 1-oz 15-denier 100% nylon ripstop with Deluge DWR finish. Recyclable through the Common Threads Recycling ProgramWeight: (115 g 4 oz)Made in China."
294,"Inga shortie - Short boards and short shorts liven up any shore break. The Inga Shortie is made from soft, sturdy organic cotton canvas, and with a 2"" inseam, they're about the shortest shorts we make. Slim-fitting, five-pocket jean styling and topstitching keep it simple. Other details include a low-rise shaped waistband, belt loops, zip fly and button closure. Recyclable through the Common Threads Recycling Program.Details: ""Soft, sturdy organic cotton canvas"" Shaped waistband with belt loops; zip fly with logo shank button closure Five-pocket-jean styling and topstitching Low rise ""Inseam is 2""""""Fabric: 8.7-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling ProgramWeight: (242 g 8.4 oz)Made in Thailand."
295,"Vasana top - The stretchy, sleeveless Vasana offers more shoulder coverage than a tank but still meets the far-reaching demands of the next granite ledge or overhead bin. The slightly cut shoulders are flattering and functional. Made of a 90% organic cotton/10% spandex blend with delicate yoke detail and princess seams for a contoured, hip-length fit. Recyclable through the Common Threads Recycling Program.Details: Fabric combination is airy and light for maximum mobility and support Versatile sleeveless top with feminine yoke detail Princess seaming front and back for shaping and contouring Hip lengthFabric: 6.2-oz 90% organic cotton/10% spandex. Recyclable through the Common Threads Recycling ProgramWeight: 167 g (5.9 oz)Made in Thailand."
296,"Versatili-tee - At the top of the T-shirt food chain, the Versatili-Tee has satin-stitch finishing and a sensuous drape that humbles the competition. The plaited blend of organic cotton and Tencel has a soft hand and natural stretch. Recyclable through the Common Threads Recycling Program.Details: Plaited organic cotton and Tencel fabric is soft and comfy Crew neckFabric: 5.5-oz 62% organic cotton/38% Tencel plaited jersey. Recyclable through the Common Threads Recycling ProgramWeight: (126 g 4.4 oz)Made in Thailand."
297,"Versatiliti cardi - A summer-weight cardigan for the woman who studies abroad one month; crags, surfs and lives out of her car the next. This versatile, low-maintenance sweater is made from a soft 62% organic cotton/38% Tencel plaited jersey that places the moisture-wicking Tencel next to the skin. Wear it layered or solo. Recyclable through the Common Threads Recycling Program.Details: Plaited organic cotton and Tencel fabric is soft and comfy Summer-weight cardigan sweater to layer over or under ""Small, feminine buttons down center front"" Hip lengthFabric: 5.5-oz 62% organic cotton/38% Tencel plaited jersey. Recyclable through the Common Threads Recycling ProgramWeight: (184 g 6.4 oz)Made in Thailand."
298,Versatiliti tank - Vivid colors and delicate details enliven this season's crop of Versatiliti Tanks. Made of a lightweight blend of 62% organic cotton/38% Tencel that line-dries over night. It has a flattering V-neck and slightly gathered shoulders with a center back seam for a contoured fit. Recyclable through the Common Threads Recycling Program.Details: Plaited organic cotton/Tencel fabric is soft and comfy Flattering V-neck Delicate gathers at shoulder seam for drapeFabric: 5.5-oz 62% organic cotton/38% Tencel plaited jersey. Recyclable through the Common Threads Recycling ProgramWeight: (112 g 3.9 oz)Made in Thailand.
299,"Active boy shorts - We've worn these versatile, feminine boy shorts as on-the-fly bathing suit bottoms, to Bikram yoga class, as sleepwear - their functionality is limitless. Low-rise Active Boy Shorts are tube-constructed to eliminate chafing side seams, and their soft, technical fabric breathes and wicks moisture to keep you comfortable and dry. We've shortened the flat waistband in front for a fit that won't roll or bind; stretchy shaped openings at legs are newly redesigned with less fabric to minimize bunching. Solids and prints: 4.6-oz 93% nylon/7% spandex.Details: ""Ultrasoft, lightweight fabric with stretch and moisture management"" Seamless construction ""Waistband and shaped leg openings lie flat, won't roll or bind for well deserved comfort and mobility""Fabric: ""4.6-oz 93% nylon/7% spandex, with moisture-wicking performance""Weight: (31 g 1.1 oz)Made in Israel."
300,"Active briefs - Whether you're beating the heat in Bali or skinning up your favorite cirque, these ultrasoft, lightweight briefs provide exceptional stretch and moisture-management for keeping you comfortable and dry. They also glide easily beneath layers. A seamless waistband lies flat and won't roll or bind; newly redesigned single-sided leg binding stays put and is low-profile. With a breathable mini-rib crotch. Solids and prints: 4.6-oz 96% nylon/4% spandex. Stripes: 5.6-oz 93% polyester (58% recycled)/7% spandex.Details: ""Ultrasoft, lightweight fabric with stretch and moisture management"" ""Seamless waistband lies flat, won't roll or bind, breathable mini-rib crotch, soft, single-sided binding at leg openings wont chafe or creep""Fabric: Solids and prints: 4.6-oz 96% nylon/4% spandex. Stripes: 5.6-oz 94% polyester (58% recycled)/7% spandex. All with moisture-wicking performanceWeight: (28 g 1 oz)Made in Israel."
301,"Active classic cami - Worn under a dry top or as a base layer when topping 14,000 feet; the form-fitting Active Classic Cami will toe the line on any expedition. The 360-degree built-in shelf bra and adjustable shoulder straps won't slip or dig into your skin. The tank's supersoft nylon/spandex fabric blend (94%/6%) and seamless tube construction prevent chafing. Longer torso coverage pairs well with low-rise styles.Details: Supersoft nylon/spandex blend for next-to-skin comfort Seamless construction ""360-degree shelf bra with adjustable, nonslip shoulder straps"" ""Appropriate length for pairing with low-rise style pants, shorts or skirts""Fabric: 4.6-oz 94% nylon/6% spandex with moisture-wicking performanceWeight: (72 g 2.5 oz)Made in Israel."
302,"All-time shell - Since rain is recycled we figure raincoats should be recyclable too. This one is. Made of 100% recycled polyester, the All-Time is equipped with all the technical features that keep you dry in a downpour: a waterproof/breathable H2No barrier with a Deluge DWR (durable water repellent) finish, removable 2-way-adjustable hood, microfleece-lined collar, snap cuffs, 2-way front zip with storm flap and snaps, drawcord hem, water-resistant zippered handwarmer pockets and a vertical internal pocket. The below-hip-length shell has contoured styling for a feminine fit. Recyclable through the Common Threads Recycling Program. Details: 2.5-layer all-recycled-polyester shell repels rain and blocks wind ""Removable, 2-way-adjustable hood"" 2-way front zip with double storm-flap and snaps Collar lined in cozy microfleece for next-to-skin comfort Water-repellent handwarmer pockets have invisible zippers; vertical mesh-lined internal pocket ""Snap cuffs, drawcord hem"" Just-below-hip lengthFabric: ""2.5-layer, 4.2-oz 100% all-recycled polyester with a waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program""Weight: (447 g 15.5 oz)Made in China."
303,"All-wear capris - Capris are more discreet than shorts, cooler than pants and more festive than either. Made from a rugged but supple, lightweight 100% organic cotton canvas, that's available in solids and plaids, All-Wears have a flat front and a low-rise waistband shaped for a feminine fit. With two slanted front pockets and two welted rear pockets. Vented hem. The 17"" inseam (size 8) hits below the knee. Recyclable through the Common Threads Recycling Program.Details: Organic cotton canvas Zip fly with double-button closure on shaped waistband Slanted front pockets and welted back pockets Regular rise ""Inseam (size 8) is 17""""""Fabric: 5.2-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling ProgramWeight: (256 g 8.9 oz)Made in Thailand."
304,"All weather capris - Worthy of your best Downward Facing Dog, comfortable on the journey from produce aisle to hatchback, and breathable enough for running and riding - All-Weather Capris suit today's multi-tasking lifestyle. They have a knit fabric (86% polyester/14% spandex) that's fitted through the hips and thighs, then straight to just below the knee. A flat, flattering low-rise waistband uses minimal elastic for greater comfort. The gusseted crotch makes movement easy; a crossover security pocket at the right hip holds keys, an ID card or lip balm. Inseam (size M) is 18"" and hits just below the knee. A reflective heat-transfer logo and graphics keep you visible.Details: ""Supple, durable, knit fabric that's highly breathable"" ""Flat, flattering low-rise waistband uses minimal elastic for greater comfort"" Crossover security pocket at right hip Fitted through hip and thigh; straight leg Reflective heat-transfer logo and graphics ""18"""" inseam; hits just below the knee""Fabric: 8.4-oz 86% polyester/14% spandexWeight: (204 g 7.1 oz)Made in Vietnam."
305,"Inter-continental pants - reg - You'll like the flattering drape of these lightweight pants made from a stretch-woven blend of 52% nylon/48% polyester. The fabric recovers quickly from prolonged sittings and has a DWR (durable water repellent) finish that sheds water. For extra versatility, the legs roll up to a capri length and fasten with snap closures. With two front slant pockets and one back security pocket. Regular rise; inseam (size 8) is 31"". Recyclable through the Common Threads Recycyling Program.Details: ""Mechanical stretch-woven fabric with DWR (durable water repellent) finish; 1"""" waistband (with belt loops)"" Zip fly with button closure Quarter-top front pockets; zippered welted back pockets Forward-angled side seams Legs fasten with self-fabric tab and snap for capri length Regular rise ""Inseam is 31""""""Fabric: 4.5-oz 52% nylon/48% polyester with DWR finish. Recyclable through the Common Threads Recycling ProgramWeight: 274 g (9.7 oz)Made in Vietnam."
306,"Inter-continental shorts - If you time an ascent of Irene's Arete right, you'll get back in time for a dip in Jenny Lake and your Inter-Continental Shorts will be dry by the time you get to Dornan's Bar. The soft, durable 52% nylon/48% polyester blend has a DWR (durable water repellent) finish that resists wrinkles and dries quickly. The seamless waistband is pack-friendly; hems are wide. With two front pockets and two rear security pockets. Inseam (size 8) is 11"". Recyclable through the Common Threads Recycling Program.Details: Mechanical stretch-woven fabric with DWR (durable water repellent) finish ""1"""" waistband (with belt loops); zip fly with button closure"" Quarter-top front pockets; zippered welted back pockets Forward-angled side seams Regular rise ""Inseam is 11""""""Fabric: 4.5-oz 52% nylon/48% polyester with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling ProgramWeight: (210 g 7.3 oz)Made in Vietnam."
307,"Island hemp dress - The soft hand of the Island Hemp Dress is a welcome reprieve after a day of bumping through the saw-toothed rocks of Meat Grinder. Made from a summer-weight blend of organic cotton and hemp (45%/55%), the slim-fitting dress is bias cut with flattering seaming at the hip for contouring and mobility. With a lined bodice, bra-friendly contrast straps and back button closure; hem falls below the knee. Recyclable through the Common Threads Recycling Program.Details: Summer-weight blend of organic cotton and hemp Bias-cut to ensure drape and contouring ""Lined bodice, contrast strap detail, back button closure"" Flattering seaming at hip for mobility Hem falls below kneeFabric: 4-oz 55% hemp/45% organic cotton plain weave. Recyclable through the Common Threads Recycling ProgramWeight: (204 g 7.1 oz)Made in China."
308,"Alpine wind jkt - On high ridges, steep ice and anything alpine, this jacket serves as a true ""best of all worlds"" staple. It excels as a stand-alone shell for blustery rock climbs, cool-weather trail runs and high-output ski tours. And then, when conditions have you ice and alpine climbing, it functions as a lightly insulated windshirt on the approach, as well as a frictionless midlayer when it's time to bundle up and tie-in. The polyester ripstop shell with a Deluge DWR (durable water repellent) treatment sheds snow and blocks wind, while the smooth, lightly brushed hanging mesh liner wicks moisture, dries fast, and doesn't bind to your baselayers. Superlight stretch-woven underarm panels enhance breathability and allow for unimpaired arm motion, and the two hand pockets close with zippers. A drawcord hem, elastic cuffs, a heat-transfer reflective logo and a regular-coil, center-front zipper with DWR finish round out the features. Updated this season for an improved fit. Recyclable through the Common Threads Recycling Program.Details: ""Lightweight, breathable polyester ripstop fabric with a Deluge DWR (durable water repellent) finish; slightly brushed polyester-mesh liner wicks moisture and dries fast"" ""Stretch-woven underarm panels provide breathability, stretch for unimpeded range of motion"" Center-front zipper has DWR finish Elastic cuffs Zippered handwarmer pockets Drawcord hem Reflective heat-transfer logoFabric: Shell: 1.3-oz 20-denier 100% polyester ripstop. Panels: 4.6-oz 75-denier 90% all-recycled polyester/10% spandex. Shell and panels have Deluge DWR (durable water repellent) finish. Lining: 100% polyester brushed tricot mesh. Recyclable through the Common Threads Recycling ProgramWeight: (274 g 9.5 oz)Made in China."
309,"Aravis 1/4 zip - For corn skiing and other transition-season endeavors, the Aravis 1/4-Zip provides breathable warmth that's great for layering. Made from dense, lightweight fleece that's easy-care and soft, the jacket has distinctive Capilene 3 trim at the neck, pockets, cuffs and hem. A 1/4-zip front zipper and stand-up collar regulate warmth; the zippered sleeve security pocket holds essentials. Recyclable through the Common Threads Recycling Program.Details: Made of cozy soft polyester fleece 1/4-zip front zipper with stand up collar for warmth ""Capilene 3 fabric trims neck, cuffs and hem"" Zippered sleeve security pocketFabric: 5.9-oz 100% polyester brushed double-sided fleece. Recyclable through the Common Threads Recycling ProgramWeight: (279 g 9.7 oz)Made in Vietnam."
310,"Astrid top - The delicately feminine Astrid Top is a refreshing change from the heavy-lipped poundings of a big south swell. Made from our lightest weight blend of organic cotton and Tencel jersey (55%/45%) fabric, the short-sleeved top has a gathered scoop neck for a flattering fit and drape. The ultrasoft shirt falls at the hip. Recyclable through the Common Threads Recycling Program.Details: Our lightest weight organic cotton and Tencel blend Short-sleeved top with flattering scoop neck Gathers at neck for fit and drape Hip lengthFabric: 4-oz 55% organic cotton/45% Tencel jersey. Recyclable through the Common Threads Recycling ProgramWeight: (109 g 3.8 oz)Made in Thailand."
311,"Astrid wrap - A casual, elegant wrap to layer over your favorite dress - or to throw on over a tee and jeans. The short-sleeved Astrid Wrap is made of our lightest weight organic cotton/Tencel (55%/45%) fabric. It has an open, front shawl collar with a tie-off hem and gathers at the sleeves and yoke for a very feminine silhouette. Hip length. Recyclable through the Common Threads Recycling Program.Details: Our lightest weight organic cotton and Tencel blend Short-sleeved wrap top for lightweight layering Gathers at sleeve and yoke for feminine appeal ""Soft shawl collar, no front closure"" Hip lengthFabric: 4-oz 55% organic cotton/45% Tencel jersey. Recyclable through the Common Threads Recycling ProgramWeight: (222 g 7.7 oz)Made in Thailand."
312,"Baggies shorts - A loyal partner in grime, Baggies love slurping through mud on the Little Colorado and chimneying Thunder River's caverns as much as you do. Made from tough, lightweight Supplex nylon, they're treated with a DWR (durable water repellent) finish that sloughs off rivers, oceans, lakes and downpours. The wide back yoke defines a casual and flattering fit. With quick-draining, partially mesh-lined back pockets. Inseam (size M) is 5"". Recyclable through the Common Threads Recycling ProgramDetails: Made from nylon for durability Brushed elastic waistband with drawcord Pockets lined with polyester mesh for drainage Regular rise ""Inseam (size M) is 5""""""Fabric: 4.2-oz 100% Supplex nylon with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling ProgramWeight: (138 g 4.8 oz)Made in Costa Rica."
313,"Kamala dress - Like the lotus flower it's named for, the Kamala Dress is an aquatic-lifestyle perennial. Flowing organic cotton/Tencel (55%/45%) fabric provides lightweight softness and a smooth drape. A flattering V-neck front with a crossover twist and shirring detail under the bust add a feminine flair. Bra-friendly straps and a doubled bodice keep things discreet. The A-line hem falls above the knee. Recyclable through the Common Threads Recycling Program.Details: Soft-handed jersey knit with smooth drape Flattering V-neck front with crossover twist Doubled bodice; bra-friendly straps ""Shirring under bust, beautiful drape"" A-line hem falls above the kneeFabric: 4.8-oz 55% organic cotton/45% Tencel. Recyclable   through the Common Threads Recycling ProgramWeight: (259 g 9 oz)Made in Thailand."
314,"Kamala skirt - Worn as a skirt or a dress, the Kamala Skirt adapts to whatever watering hole you encounter. Lightweight organic cotton/Tencel (55%/45%) fabric has a smooth, breeze-catching drape. Worn as a skirt, the wide cinched, shirred waistband adjusts with side ties on one side and has an A-line shape that falls below the knee. As a dress, the doubled waistband converts to a bandeau-style bodice that ties behind the neck with an above-the-knee hem. Waist-to-hem length is 30"". Recyclable through the Common Threads Recycling Program.Details: Soft-handed jersey knit with smooth drape ""Snug, wide, cinched waistband; adjustable on right side with ties"" ""A-line shape skirt, below the knee length"" Skirt's doubled waistband becomes bandeau-style bodice for dress; and ties behind the neckFabric: 4.8-oz 55% organic cotton/45% Tencel. Recyclable through the Common Threads Recycling ProgramWeight: (219 g 7.6 oz)Made in Thailand."
315,"Kite town t-shirt - Artist Chris Del Moro transforms wind into fun with the whimsical Kite Town T-Shirt. Printed on lightweight, 100% organic cotton using PVC- and phthalate-free inks, the tee has taped shoulder seams that are soft next-to-skin. The shirt's Anika fit features a longer torso that's form-fitting, shorter sleeves and wide, deep neckline. Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (112 g 3.9 oz)Made in USA."
316,"Barely bra (a/b) - Featherweight yet supportive, our Barely Bra wicks moisture and breathes to keep you cool. The slender, nonslip straps adjust in the back; an underbust band provides gentle support. Lace-like texture is integral to the fabric. Made from a blend of 90% polyester (76% recycled)/6% spandex/4% nylon. Pairs with our Barely Bikini. .Details: Petal-soft and featherweight fabric blend manages moisture and breathes to keep you cool Seamless construction Underbust band offers gentle support V-front with slender straps that adjust in back and won't slip Lace-like texture is integral to fabric Pairs with our Women's Barely Bra and Barely Everyday BraFabric: 4.6-oz 90% polyester (76% recycled)/6% spandex/4% nylonWeight: (25 g 0.9 oz)Made in Israel."
317,"Barely everyday bra (b/c) - The flattering Barely Everyday Bra rolls with whatever the day dishes up. The bra's comfortable, pull-on racerback style has comfortable straps that won't dig. Underbust contour seams provide a supportive, defining fit; lined cups for discretion. Quick-dry, recycled fabric is ideal for on-the-road sink baths. Recyclable through the Common Threads Recycling Program.Details: Petal-soft and lightweight recycled-polyester/spandex blend manages moisture and breathes to keep you cool Underbust panel offers B/C support Slender straps meet at a racerback and don't slip Lace-like texture is integral to fabric Pairs with our Women's Barely Bra and Women's Barely Everyday BraFabric: 4.6-oz 85% polyester (76% recycled)/15% spandexWeight: (51 g 1.8 oz)Made in Israel."
318,"Barely hipster - The Barely Hipster's form-fitting construction has a soft, lace-like texture that breathes through tough spots. Featherweight recycled polyester/spandex (94%/6%) fabric blend wicks moisture and dries quickly, making it well-suited for hot or cold climates. Recyclable through the Common Threads Recycling Program.Details: Soft and featherweight recycled-polyester/spandex blend manages moisture and  breathes to keep you cool Seamless construction Lace-like texture is integral to fabric Pairs with our Women's Barely Bra and Women's Barely Everyday BraFabric: ""4.6-oz 94% polyester (73% recycled)/6% spandex, with a moisture-wicking finish. Recyclable through the Common Threads Recycling Program""Weight: (23 g 0.8 oz)Made in Israel."
319,"Symmetry w16 poster - Bill Serantoni ice climbs Fearful Symmetry in Alberta Canada. For 30 years we've paid tribute to human adventures both near and far with a collection of photographs that speak to the passion, joy and beauty of lives spent outside. These photos have appeared exclusively on our Web site, in our catalog and on the walls of our retail stores and specialty outdoor clothiers around the world. And now we are excited to make select photos available to you as posters. We hope they brighten up your space and inspire you to get outside.Details: ""Dimensions: 36"""" x 24"""""" Photo by Cory RichardsFabric: Printed with soy inks on recycled paper that contains 50% post-consumer wastePrinted in USA."
320,"Synch snap-t - A perennial staple, the Snap-T pullover keeps us toasty in Central Coast sundowners and well-ventilated while digging out Montana snowbanks. Made to exceptionally high standards from thick, cozy double-faced polyester fleece (86% recycled), it has Y-Joint sleeves, a taped placket and an on-seam snap chest pocket. Recyclable through the Common Threads Recycling Program.Details: 4-snap placket reinforced with Supplex nylon Y-Joint sleeves Snap chest pocket Nylon/spandex cuffsFabric: 10.6-oz 100% polyester (86% recycled) fleece. Recyclable through the Common Threads Recycling ProgramWeight: 535 g (18.9 oz)Made in Colombia."
321,"Synch vest - When a shirt isn't enough and a jacket is too much, this versatile core-warmer keeps you comfortable without restricting movement. Layer it when chasing spring corn, or wear it alone on cool desert nights. Durable, lightweight double-faced polyester fleece (85% recycled) is just enough to keep the chill out. With zippered handwarmer pockets and elasticized armholes and hem. Recyclable through the Common Threads Recycling Program.Details: ""Soft, recycled double-sided polyester fleece"" Zippered handwarmer pockets Simplified trim Elasticized armholes and hem at waistFabric: 7.5-oz 100% polyester (85% recycled) double-faced fleece. Recyclable through the Common Threads Recycling ProgramWeight: 266 g (9.4 oz)Made in Mexico."
322,"Tarpon t-shirt - Channel the determination of the Silver King wearing the Tarpon T-Shirt, which features the work of Florida Keys-based artist Tim Borski. The shirt's made from durable 100% organic cotton and screen-printed using PVC- and phthalate-free inks for a tee that's easier on the environment. Taped shoulder seams and ringspun fabric yarns are soft next-to-skin. Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (199 g 6.9 oz)Made in USA."
323,"Vitaliti vee - The stretch and refined drape of Vitaliti fabric puts this T-shirt in a class of its own. The soft blend of 55% organic cotton/35% all-recycled polyester/10% spandex is naturally ventilating, wrinkle-resistant and retains its charm on extended trips in irritable conditions. Recyclable through the Common Threads Recycling Program.Details: Plaited organic cotton and all-recycled-polyester stretch fabric is naturally wrinkle resistant V-neck with self-fabric trim; straight hemFabric: 5.7-oz 55% organic cotton/35% all-recycled polyester/10% spandex. Recyclable through the Common Threads Recycling ProgramWeight: (129 g 4.5 oz)Made in Thailand."
